Date,Dorm Residents,Community,Imported,Total,New recoveries,New deaths,Active cases,In ICU,Total deaths,Total recovered,Total cases
1,0,3,27,30,10,0,141,1,29,"58,459","58,629"
2,0,0,33,33,17,0,157,1,29,"58,476","58,662"
3,0,0,35,35,11,0,181,1,29,"58,487","58,697"
4,0,0,24,24,10,0,195,1,29,"58,497","58,721"
5,0,2,26,28,20,0,203,1,29,"58,517","58,749"
6,0,2,29,31,24,0,210,1,29,"58,541","58,780"
7,0,2,31,33,21,0,222,1,29,"58,562","58,813"
8,0,2,21,23,18,0,227,1,29,"58,580","58,836"
9,0,0,29,29,31,0,225,1,29,"58,611","58,865"
10,0,0,42,42,25,0,242,1,29,"58,636","58,907"
11,0,0,22,22,32,0,232,1,29,"58,668","58,929"
12,0,0,17,17,26,0,223,1,29,"58,694","58,946"
13,1,0,37,38,28,0,233,1,29,"58,722","58,984"
14,0,1,44,45,35,0,243,0,29,"58,757","59,029"
15,0,1,29,30,14,0,259,0,29,"58,771","59,059"
16,1,4,19,24,13,0,270,0,29,"58,784","59,083"
17,0,2,28,30,62,0,238,0,29,"58,846","59,113"
18,0,2,12,14,22,0,230,0,29,"58,868","59,127"
19,0,4,26,30,26,0,234,0,29,"58,894","59,157"
20,0,4,36,40,32,0,242,1,29,"58,926","59,197"
21,0,4,34,38,33,0,247,1,29,"58,959","59,235"
22,0,1,14,15,24,0,238,1,29,"58,983","59,250"
23,0,0,10,10,32,0,216,0,29,"59,015","59,260"
24,0,0,48,48,26,0,238,0,29,"59,041","59,308"
25,0,0,44,44,25,0,257,0,29,"59,066","59,352"
26,0,0,14,14,20,0,251,0,29,"59,086","59,366"
27,0,0,25,25,18,0,258,0,29,"59,104","59,391"
28,0,0,34,34,44,0,248,0,29,"59,148","59,425"
29,0,0,24,24,33,0,239,0,29,"59,181","59,449"
30,0,3,55,58,15,0,282,0,29,"59,196","59,507"
31,0,0,29,29,32,0,279,0,29,"59,228","59,536"
1,0,0,29,29,43,0,265,0,29,"59,271","59,565"
2,0,0,19,19,30,0,254,0,29,"59,301","59,584"
3,0,0,18,18,19,0,253,0,29,"59,320","59,602"
4,0,0,22,22,28,0,247,0,29,"59,348","59,624"
5,1,1,23,25,25,0,247,1,29,"59,373","59,649"
6,0,0,26,26,32,0,241,1,29,"59,405","59,675"
7,0,1,23,24,28,0,237,1,29,"59,433","59,699"
8,0,2,20,22,51,0,208,1,29,"59,484","59,721"
9,0,0,11,11,22,0,197,1,29,"59,506","59,732"
10,1,0,14,15,20,0,192,1,29,"59,526","59,747"
11,0,3,9,12,32,0,172,1,29,"59,558","59,759"
12,0,2,16,18,11,0,179,1,29,"59,569","59,777"
13,0,0,9,9,35,0,153,1,29,"59,604","59,786"
14,0,0,14,14,17,0,150,1,29,"59,621","59,800"
15,0,0,9,9,20,0,139,1,29,"59,641","59,809"
16,0,0,1,1,20,0,120,1,29,"59,661","59,810"
17,0,1,10,11,15,0,116,1,29,"59,676","59,821"
18,0,0,11,11,3,0,124,1,29,"59,679","59,832"
19,0,0,14,14,18,0,120,1,29,"59,697","59,846"
20,0,0,12,12,22,0,110,1,29,"59,719","59,858"
21,0,0,11,11,12,0,109,1,29,"59,731","59,869"
22,0,1,9,10,15,0,104,1,29,"59,746","59,879"
23,1,0,3,4,7,0,101,1,29,"59,753","59,883"
24,0,1,6,7,8,0,100,1,29,"59,761","59,890"
25,0,2,8,10,24,0,86,1,29,"59,785","59,900"
26,0,0,13,13,18,0,81,1,29,"59,803","59,913"
27,0,0,12,12,13,0,80,1,29,"59,816","59,925"
28,1,0,10,11,7,0,84,1,29,"59,823","59,936"
1,0,0,12,12,7,0,89,1,29,"59,830","59,948"
2,0,0,8,8,12,0,85,1,29,"59,842","59,956"
3,0,2,21,23,7,0,101,1,29,"59,849","59,979"
4,0,1,18,19,8,0,112,1,29,"59,857","59,998"
5,0,0,9,9,13,0,108,1,29,"59,870","60,007"
6,0,0,13,13,9,0,112,1,29,"59,879","60,020"
7,0,0,13,13,15,0,110,1,29,"59,894","60,033"
8,0,0,13,13,6,0,117,1,29,"59,900","60,046"
9,0,0,6,6,5,0,118,1,29,"59,905","60,052"
10,0,0,10,10,6,0,122,1,29,"59,911","60,062"
11,0,1,7,8,28,0,102,1,29,"59,939","60,070"
12,0,0,10,10,11,0,101,1,29,"59,950","60,080"
13,0,0,8,8,11,1,97,0,30,"59,961","60,088"
14,0,0,17,17,7,0,107,0,30,"59,968","60,105"
15,0,0,12,12,6,0,113,0,30,"59,974","60,117"
16,0,0,11,11,10,0,114,0,30,"59,984","60,128"
17,0,0,9,9,17,0,106,0,30,"60,001","60,137"
18,0,0,15,15,13,0,108,0,30,"60,014","60,152"
19,0,0,15,15,5,0,118,0,30,"60,019","60,167"
20,0,0,17,17,3,0,132,0,30,"60,022","60,184"
21,0,0,12,12,16,0,128,0,30,"60,038","60,196"
22,0,0,12,12,13,0,127,0,30,"60,051","60,208"
23,0,0,13,13,12,0,128,0,30,"60,063","60,221"
24,0,0,15,15,15,0,128,0,30,"60,078","60,236"
25,0,0,17,17,8,0,137,0,30,"60,086","60,253"
26,0,0,12,12,17,0,132,1,30,"60,103","60,265"
27,0,0,23,23,10,0,145,1,30,"60,113","60,288"
28,0,0,12,12,9,0,148,1,30,"60,122","60,300"
29,0,0,21,21,9,0,160,1,30,"60,131","60,321"
30,0,0,26,26,7,0,179,1,30,"60,138","60,347"
31,0,0,34,34,11,0,202,1,30,"60,149","60,381"
1,0,0,26,26,12,0,216,1,30,"60,161","60,407"
2,0,0,43,43,15,0,244,1,30,"60,176","60,450"
3,0,0,18,18,9,0,253,1,30,"60,185","60,468"
4,0,0,10,10,17,0,246,1,30,"60,202","60,478"
5,0,0,17,17,12,0,251,1,30,"60,214","60,495"
6,0,0,24,24,25,0,250,1,30,"60,239","60,519"
7,0,1,34,35,21,0,264,1,30,"60,260","60,554"
8,0,0,21,21,24,0,261,1,30,"60,284","60,575"
9,0,0,26,26,20,0,267,1,30,"60,304","60,601"
10,0,0,32,32,18,0,281,1,30,"60,322","60,633"
11,1,0,19,20,13,0,288,1,30,"60,335","60,653"
12,0,0,25,25,22,0,291,1,30,"60,357","60,678"
13,0,0,14,14,17,0,288,1,30,"60,374","60,692"
14,0,1,26,27,18,0,297,2,30,"60,392","60,719"
15,0,0,16,16,25,0,288,2,30,"60,417","60,735"
16,0,1,33,34,29,0,293,2,30,"60,446","60,769"
17,0,4,35,39,17,0,315,2,30,"60,463","60,808"
18,0,1,22,23,22,0,316,2,30,"60,485","60,831"
19,0,1,19,20,18,0,318,1,30,"60,503","60,851"
20,1,0,13,14,37,0,295,1,30,"60,540","60,865"
21,0,0,15,15,36,0,274,1,30,"60,576","60,880"
22,1,1,22,24,27,0,271,1,30,"60,603","60,904"
23,1,0,38,39,10,0,300,1,30,"60,613","60,943"
24,0,5,18,23,16,0,307,1,30,"60,629","60,966"
25,0,0,40,40,33,0,314,1,30,"60,662","61,006"
26,1,1,43,45,20,0,339,0,30,"60,682","61,051"
27,0,1,11,12,22,0,329,0,30,"60,704","61,063"
28,0,2,21,23,14,0,338,0,30,"60,718","61,086"
29,0,16,19,35,20,0,353,0,30,"60,738","61,121"
30,0,8,16,24,13,0,364,0,30,"60,751","61,145"
1,2,7,25,34,14,1,383,0,31,"60,765","61,179"
2,0,13,26,39,21,0,401,0,31,"60,786","61,218"
3,0,10,7,17,20,0,398,0,31,"60,806","61,235"
4,0,5,12,17,17,0,398,2,31,"60,823","61,252"
5,0,1,15,16,21,0,393,2,31,"60,844","61,268"
6,0,2,16,18,29,0,382,1,31,"60,873","61,286"
7,0,4,21,25,33,0,374,2,31,"60,906","61,311"
8,0,7,13,20,6,0,388,2,31,"60,912","61,331"
9,0,10,18,28,21,0,395,2,31,"60,933","61,359"
10,0,3,16,19,20,0,394,3,31,"60,953","61,378"
11,0,13,12,25,22,0,397,3,31,"60,975","61,403"
12,0,10,6,16,31,0,382,3,31,"61,006","61,419"
13,0,24,10,34,23,0,393,3,31,"61,029","61,453"
14,0,24,28,52,18,0,427,3,31,"61,047","61,505"
15,0,19,12,31,15,0,443,3,31,"61,062","61,536"
16,0,38,11,49,42,0,450,2,31,"61,104","61,585"
17,0,21,7,28,19,0,459,3,31,"61,123","61,613"
18,0,27,11,38,11,0,486,5,31,"61,134","61,651"
19,0,34,4,38,49,0,475,5,31,"61,183","61,689"
20,0,27,14,41,46,1,469,4,32,"61,229","61,730"
21,0,30,10,40,13,0,496,4,32,"61,242","61,770"
22,0,22,7,29,35,0,490,5,32,"61,277","61,799"
23,1,21,3,25,17,0,498,3,32,"61,294","61,824"
24,0,24,12,36,22,0,512,3,32,"61,316","61,860"
25,3,18,9,30,13,0,529,2,32,"61,329","61,890"
26,1,23,2,26,31,0,524,2,32,"61,360","61,916"
27,1,14,9,24,12,0,536,2,32,"61,372","61,940"
28,0,15,15,30,35,0,531,3,32,"61,407","61,970"
29,0,23,10,33,16,0,548,3,32,"61,423","62,003"
30,0,19,6,25,11,1,561,3,33,"61,434","62,028"
31,0,16,7,23,25,0,559,2,33,"61,459","62,051"
1,0,15,3,18,22,0,555,2,33,"61,481","62,069"
2,0,24,7,31,42,0,544,2,33,"61,523","62,100"
3,0,35,10,45,34,0,555,2,33,"61,557","62,145"
4,0,7,6,13,23,0,545,2,33,"61,580","62,158"
5,0,12,6,18,33,0,530,2,33,"61,613","62,176"
6,0,6,14,20,22,0,528,2,33,"61,635","62,196"
7,0,5,9,14,25,0,517,2,33,"61,660","62,210"
8,1,3,5,9,42,1,483,2,34,"61,702","62,219"
9,0,2,2,4,38,0,449,1,34,"61,740","62,223"
10,0,4,9,13,25,0,437,1,34,"61,765","62,236"
11,0,3,6,9,34,0,412,1,34,"61,799","62,245"
12,0,9,9,18,39,0,391,1,34,"61,838","62,263"
13,0,10,3,13,31,0,373,1,34,"61,869","62,276"
14,1,18,6,25,25,0,373,2,34,"61,894","62,301"
15,0,14,0,14,17,0,370,2,34,"61,911","62,315"
16,0,19,5,24,20,0,374,1,34,"61,931","62,339"
17,0,20,7,27,29,0,372,1,34,"61,960","62,366"
18,0,14,2,16,27,0,361,1,34,"61,987","62,382"
19,0,14,7,21,36,0,346,1,34,"62,023","62,403"
20,0,9,2,11,19,0,338,1,34,"62,042","62,414"
21,0,13,3,16,28,1,325,0,35,"62,070","62,430"
22,0,15,3,18,28,0,315,2,35,"62,098","62,448"
23,0,13,9,22,15,0,322,5,35,"62,113","62,470"
24,0,14,9,23,27,0,318,4,35,"62,140","62,493"
25,0,15,5,20,21,0,317,4,35,"62,161","62,513"
26,0,13,4,17,20,1,313,4,36,"62,181","62,530"
27,0,12,2,14,14,0,313,4,36,"62,195","62,544"
28,0,4,5,9,17,0,305,3,36,"62,212","62,553"
29,0,5,5,10,7,0,308,3,36,"62,219","62,563"
30,0,5,11,16,9,0,315,4,36,"62,228","62,579"
1,0,4,6,10,6,0,319,3,36,"62,234","62,589"
2,0,3,7,10,16,0,313,2,36,"62,250","62,599"
3,0,4,3,7,15,0,305,2,36,"62,265","62,606"
4,0,1,10,11,21,0,295,2,36,"62,286","62,617"
5,0,6,7,13,13,0,295,3,36,"62,299","62,630"
6,1,1,8,10,14,0,291,3,36,"62,313","62,640"
7,0,5,7,12,28,0,275,3,36,"62,341","62,652"
8,0,3,13,16,22,0,269,2,36,"62,363","62,668"
9,0,1,9,10,11,0,268,2,36,"62,374","62,678"
10,0,0,6,6,23,0,251,2,36,"62,397","62,684"
11,0,1,7,8,17,0,242,2,36,"62,414","62,692"
12,0,8,18,26,18,0,250,2,36,"62,432","62,718"
13,0,19,7,26,21,0,255,2,36,"62,453","62,744"
14,0,56,4,60,14,0,301,1,36,"62,467","62,804"
15,0,42,6,48,14,0,335,1,36,"62,481","62,852"
16,0,52,9,61,17,0,379,1,36,"62,498","62,913"
17,0,60,8,68,14,0,433,1,36,"62,512","62,981"
18,1,87,4,92,14,0,511,1,36,"62,526","63,073"
19,0,163,9,172,6,0,677,1,36,"62,532","63,245"
20,0,182,13,195,11,0,861,1,36,"62,543","63,440"
21,0,179,2,181,17,0,"1,025",1,36,"62,560","63,621"
22,2,160,8,170,16,0,"1,179",1,36,"62,576","63,791"
23,0,130,3,133,11,0,"1,301",2,36,"62,587","63,924"
24,1,126,3,130,8,1,"1,422",1,37,"62,595","64,054"
25,1,116,8,125,10,0,"1,537",2,37,"62,605","64,179"
26,1,128,6,135,12,0,"1,660",2,37,"62,617","64,314"
27,8,128,3,139,20,0,"1,779",2,37,"62,637","64,453"
28,3,127,6,136,26,0,"1,889",2,37,"62,663","64,589"
29,3,126,4,133,16,0,"2,006",3,37,"62,679","64,722"
30,4,127,8,139,54,0,"2,091",7,37,"62,733","64,861"
31,0,117,3,120,130,0,"2,081",7,37,"62,863","64,981"
1,4,109,8,121,94,0,"2,108",8,37,"62,957","65,102"
2,4,102,5,111,76,1,"2,142",7,38,"63,033","65,213"
3,6,92,4,102,219,0,"2,025",7,38,"63,252","65,315"
4,6,86,3,95,105,1,"2,014",7,39,"63,357","65,410"
5,5,91,2,98,100,1,"2,011",8,40,"63,457","65,508"
6,18,75,4,97,79,1,"2,028",7,41,"63,536","65,605"
7,19,56,6,81,122,1,"1,986",4,42,"63,658","65,686"
8,4,69,5,78,200,0,"1,864",8,42,"63,858","65,764"
9,12,57,3,72,204,0,"1,732",10,42,"64,062","65,836"
10,6,47,1,54,90,0,"1,696",11,42,"64,152","65,890"
11,8,53,2,63,141,1,"1,617",8,43,"64,293","65,953"
12,4,55,0,59,87,0,"1,589",9,43,"64,380","66,012"
13,2,43,4,49,157,1,"1,480",10,44,"64,537","66,061"
14,4,53,1,58,132,0,"1,406",9,44,"64,669","66,119"
15,4,46,3,53,123,0,"1,336",8,44,"64,792","66,172"
16,14,34,5,53,110,0,"1,279",7,44,"64,911","66,225"
17,14,38,4,56,160,1,"1,174",6,45,"65,062","66,281"
18,2,47,4,53,90,1,"1,136",6,46,"65,152","66,334"
19,0,29,3,32,90,0,"1,078",8,46,"65,242","66,366"
20,2,34,4,40,160,1,957,7,47,"65,402","66,406"
21,0,32,5,37,126,0,868,7,47,"65,528","66,443"
22,3,26,6,35,73,2,828,7,49,"65,601","66,478"
23,60,34,4,98,99,1,826,7,50,"65,700","66,576"
24,23,88,5,116,72,0,870,7,50,"65,772","66,692"
25,26,92,2,120,53,2,935,7,52,"65,825","66,812"
26,13,99,4,116,84,0,967,7,52,"65,909","66,928"
27,7,113,2,122,59,3,"1,027",6,55,"65,968","67,050"
28,14,99,8,121,54,0,"1,094",6,55,"66,022","67,171"
29,15,109,9,133,70,0,"1,157",6,55,"66,092","67,304"
30,24,123,8,155,40,0,"1,272",5,55,"66,132","67,459"
31,20,136,5,161,42,0,"1,391",5,55,"66,174","67,620"
1,11,166,3,180,48,0,"1,523",5,55,"66,222","67,800"
2,11,177,3,191,90,0,"1,624",5,55,"66,312","67,991"
3,6,210,3,219,56,0,"1,787",5,55,"66,368","68,210"
4,7,246,6,259,144,0,"1,902",5,55,"66,512","68,469"
5,11,175,5,191,88,0,"2,005",5,55,"66,600","68,660"
6,20,215,6,241,119,0,"2,127",6,55,"66,719","68,901"
7,28,300,4,332,148,0,"2,311",6,55,"66,867","69,233"
8,18,329,2,349,345,1,"2,314",6,56,"67,212","69,582"
9,31,419,7,457,221,1,"2,549",7,57,"67,433","70,039"
10,0,568,5,573,334,1,"2,787",6,58,"67,767","70,612"
11,64,486,5,555,221,0,"3,121",7,58,"67,988","71,167"
12,63,454,3,520,200,0,"3,441",7,58,"68,188","71,687"
13,63,534,10,607,247,0,"3,801",8,58,"68,435","72,294"
14,77,755,5,837,165,0,"4,473",9,58,"68,600","73,131"
15,34,770,3,807,277,0,"5,003",9,58,"68,877","73,938"
16,103,803,4,910,374,1,"5,538",12,59,"69,251","74,848"
17,96,838,1,935,363,0,"6,110",14,59,"69,614","75,783"
18,78,927,4,"1,009",510,1,"6,608",18,60,"70,124","76,792"
19,90,919,3,"1,012",476,0,"7,144",21,60,"70,600","77,804"
20,78,832,7,917,487,2,"7,572",18,62,"71,087","78,721"
21,135,"1,039",4,"1,178",541,3,"7,572",17,65,"71,628","79,899"
22,176,"1,277",4,"1,457",462,3,"9,198",19,68,"72,090","81,356"
23,273,"1,219",12,"1,504",321,2,"10,379",23,70,"72,411","82,860"
24,277,"1,369",4,"1,650",984,3,"11,042",23,73,"73,395","84,510"
25,371,"1,053",19,"1,443",740,3,"11,742",27,76,"74,135","85,953"
26,398,"1,537",4,"1,939",517,2,"13,162",30,78,"74,652","87,892"
27,362,"1,280",5,"1,647",524,2,"14,283",27,80,"75,176","89,539"
28,515,"1,713",8,"2,236","1,045",5,"15,469",30,85,"76,221","91,775"
29,448,"1,811",9,"2,258","1,086",8,"16,643",34,93,"77,307","94,043"
30,452,"2,022",4,"2,478",867,2,"18,252",34,95,"78,174","96,521"
1,819,"2,078",12,"2,909",950,8,"20,203",34,103,"79,124","99,430"
2,412,"1,938",6,"2,356","1,603",4,"20,952",31,107,"80,727","101,786"
3,373,"1,676",8,"2,057","1,199",6,"21,804",35,113,"81,926","103,843"
4,601,"1,859",15,"2,475","2,540",8,"21,731",35,121,"84,466","106,318"
5,713,"2,767",6,"3,486","1,745",9,"23,463",34,130,"86,211","109,804"
6,630,"2,932",15,"3,577","2,899",3,"24,138",37,133,"89,110","113,381"
7,692,"2,783",8,"3,483","3,445",3,"24,173",40,136,"92,555","116,864"
8,765,"2,825",0,"3,590","2,454",6,"25,303",41,142,"95,009","120,454"
9,832,"2,868",3,"3,703","3,019",11,"25,976",40,153,"98,028","124,157"
10,631,"2,176",2,"2,809","2,469",9,"26,307",41,162,"100,497","126,966"
11,306,"1,949",8,"2,263","2,249",10,"26,311",42,172,"102,746","129,229"
12,251,"2,721",4,"2,976","2,110",11,"27,166",42,183,"104,856","132,205"
13,498,"2,686",6,"3,190","3,215",9,"27,132",46,192,"108,071","135,395"
14,517,"2,412",3,"2,932","3,427",15,"26,622",46,207,"111,498","138,327"
15,620,"2,823",2,"3,445","3,284",8,"26,775",48,215,"114,782","141,772"
16,656,"2,688",4,"3,348","3,429",9,"26,685",62,224,"118,211","145,120"
17,601,"2,454",3,"3,058","3,754",9,"25,980",66,233,"121,965","148,178"
18,544,"2,008",1,"2,553","3,071",6,"25,456",67,239,"125,036","150,731"
19,501,"3,480",13,"3,994","2,535",7,"26,908",71,246,"127,571","154,725"
20,630,"3,221",11,"3,862","2,715",18,"28,037",67,264,"130,286","158,587"
21,500,"2,937",2,"3,439","2,606",16,"28,854",61,280,"132,892","162,026"
22,592,"3,039",6,"3,637","2,825",14,"29,652",57,294,"135,717","165,663"
23,790,"2,804",4,"3,598","3,512",6,"29,732",58,300,"139,229","169,261"
24,667,"2,708",8,"3,383","3,369",15,"29,731",58,315,"142,598","172,644"
25,322,"2,843",9,"3,174","2,954",14,"29,937",64,329,"145,552","175,818"
26,288,"2,984",5,"3,277","2,856",10,"30,348",67,339,"148,408","179,095"
27,661,"4,651",12,"5,324","3,172",10,"32,490",66,349,"151,580","184,419"
28,252,"3,171",9,"3,432","4,348",15,"31,559",61,364,"155,928","187,851"
29,536,"3,710",2,"4,248","3,011",16,"32,780",59,380,"158,939","192,099"
30,500,"2,608",4,"3,112","3,912",14,"31,966",60,394,"162,851","195,211"
31,414,"2,745",4,"3,163","3,759",13,"31,357",61,407,"166,610","198,374"
1,278,"2,189",3,"2,470","3,552",14,"30,261",62,421,"170,162","200,844"
2,141,"3,352",3,"3,496","3,006",9,"30,742",64,430,"173,168","204,340"
3,409,"3,223",3,"3,635","3,340",12,"31,025",69,442,"176,508","207,975"
4,220,"2,780",3,"3,003","5,087",17,"28,924",72,459,"181,595","210,978"
5,120,"1,639",8,"1,767","3,657",9,"27,025",70,468,"185,252","212,745"
6,102,"2,928",5,"3,035","3,871",12,"26,177",74,480,"189,123","215,780"
7,205,"2,343",5,"2,553","2,926",17,"25,787",64,497,"192,049","218,333"
8,156,"2,307",7,"2,470","3,216",14,"25,027",67,511,"195,265","220,803"
9,169,"3,222",6,"3,397","2,834",12,"25,578",72,523,"198,099","224,200"
10,229,"3,244",8,"3,481","2,495",17,"26,547",75,540,"200,594","227,681"
11,136,"2,243",17,"2,396","4,410",8,"24,525",70,548,"205,004","230,077"
12,128,"2,965",6,"3,099","2,979",14,"24,631",75,562,"207,983","233,176"
13,120,"2,179",5,"2,304","2,539",14,"24,382",72,576,"210,522","235,480"
14,66,"1,651",6,"1,723","2,202",10,"23,893",69,586,"212,724","237,203"
15,101,"1,964",4,"2,069","3,270",8,"22,684",72,594,"215,994","239,272"
16,43,"2,021",5,"2,069","2,361",18,"22,374",68,612,"218,355","241,341"
17,144,"3,320",10,"3,474","2,555",7,"23,286",64,619,"220,910","244,815"
18,67,"1,964",7,"2,038","3,772",6,"21,546",60,625,"224,682","246,853"
19,97,"1,633",4,"1,734","2,874",16,"20,390",64,641,"227,556","248,587"
20,58,"1,866",7,"1,931","2,533",13,"19,775",60,654,"230,089","250,518"
21,80,"1,577",13,"1,670","2,640",8,"18,797",60,662,"232,729","252,188"
22,40,"1,413",8,"1,461","2,127",5,"18,126",62,667,"234,856","253,649"
23,21,"1,753",8,"1,782","1,778",5,"18,125",64,672,"236,634","255,431"
24,40,"2,030",9,"2,079","2,275",6,"17,923",59,678,"238,909","257,510"
25,31,"1,228",16,"1,275","3,223",3,"15,972",55,681,"242,132","258,785"
26,22,"1,063",5,"1,090","2,233",3,"14,826",52,684,"244,365","259,875"
27,63,"1,689",9,"1,761","1,897",6,"14,684",58,690,"246,262","261,636"
28,25,719,3,747,"2,061",11,"13,359",55,701,"248,323","262,383"
29,25,"1,070",8,"1,103","1,812",9,"12,641",62,710,"250,135","263,486"
30,24,"1,193",22,"1,239","1,398",8,"12,474",65,718,"251,533","264,725"
1,45,"1,266",13,"1,324","1,535",8,"12,255",61,726,"253,068","266,049"
2,41,"1,051",9,"1,101","2,056",9,"11,291",60,735,"255,124","267,150"
3,11,738,17,766,"1,393",9,"10,655",50,744,"256,517","267,916"
4,24,707,12,743,"1,521",2,"9,875",54,746,"258,038","268,659"
5,14,523,15,552,"1,518",13,"8,896",52,759,"259,556","269,211"
6,13,638,11,662,"1,198",4,"8,356",47,763,"260,754","269,873"
7,5,700,10,715,884,8,"8,179",43,771,"261,638","270,588"
8,20,679,10,709,"1,113",3,"7,772",40,774,"262,751","271,297"
9,16,649,17,682,"1,474",5,"6,975",40,779,"264,225","271,979"
10,4,436,14,454,"1,017",4,"6,408",40,783,"265,242","272,433"
11,6,530,23,559,956,6,"6,005",32,789,"266,198","272,992"
12,4,355,11,370,830,5,"5,540",30,794,"267,028","273,362"
13,6,316,17,339,669,4,"5,206",30,798,"267,697","273,701"
14,8,400,34,442,603,6,"5,039",31,804,"268,300","274,143"
15,10,441,23,474,636,3,"4,874",28,807,"268,936","274,617"
16,9,314,32,355,847,1,"4,381",30,808,"269,783","274,942"
17,6,369,37,412,570,1,"4,222",33,809,"270,353","275,384"
18,6,220,45,271,501,1,"3,991",30,810,"270,854","275,655"
19,6,180,69,255,503,3,"3,740",29,813,"271,357","275,910"
20,5,141,49,195,396,2,"3,537",29,815,"271,753","276,105"
21,5,221,54,280,428,2,"3,387",26,817,"272,181","276,385"
22,14,243,78,335,494,1,"3,227",23,818,"272,675","276,720"
23,7,225,90,322,417,2,"3,130",20,820,"273,092","277,042"
24,9,178,78,265,388,0,"3,007",19,820,"273,480","277,307"
25,5,176,67,248,379,1,"2,875",19,821,"273,859","277,555"
26,4,105,100,209,345,1,"2,738",18,822,"274,204","277,764"
27,5,140,135,280,319,3,"2,696",17,825,"274,523","278,044"
28,1,191,173,365,285,0,"2,776",17,825,"274,808","278,409"
29,6,183,152,341,276,1,"2,840",16,826,"275,084","278,750"
30,4,192,115,311,273,1,"2,877",16,827,"275,357","279,061"
31,7,165,172,344,352,1,"2,868",16,828,"275,709","279,405"