Date,Total Doses*,per 100 people,New Doses,Reported Doses,Vaccinated,%,Completed Vaccination,%
"Dec 31, 2021","8,185,629",159.79,"17,692","8,185,629","3,974,414",77.59%,"3,855,342",75.26%
"Dec 30, 2021","8,167,937",159.45,"23,450","8,167,937","3,973,749",77.57%,"3,851,805",75.19%
"Dec 29, 2021","8,144,487",158.99,"23,984","8,144,487","3,972,792",77.55%,"3,846,880",75.10%
"Dec 28, 2021","8,120,503",158.52,"5,148","8,120,503","3,971,654",77.53%,"3,840,240",74.97%
"Dec 27, 2021","8,115,355",158.42,"4,159","8,115,355","3,971,377",77.53%,"3,838,323",74.93%
"Dec 26, 2021","8,111,196",158.34,"1,753","8,111,196","3,971,179",77.52%,"3,836,760",74.90%
"Dec 25, 2021","8,109,443",158.31,108,"8,109,443","3,971,081",77.52%,"3,836,019",74.88%
"Dec 24, 2021","8,109,335",158.31,"13,550","8,109,335","3,971,076",77.52%,"3,835,967",74.88%
"Dec 23, 2021","8,095,785",158.04,"21,442","8,095,785","3,970,369",77.51%,"3,831,494",74.80%
"Dec 22, 2021","8,074,343",157.62,"23,173","8,074,343","3,968,949",77.48%,"3,824,342",74.66%
"Dec 21, 2021","8,051,170",157.17,"21,952","8,051,170","3,967,369",77.45%,"3,817,029",74.51%
"Dec 20, 2021","8,029,218",156.74,"20,532","8,029,218","3,965,617",77.41%,"3,809,734",74.37%
"Dec 19, 2021","8,008,686",156.34,"7,257","8,008,686","3,963,747",77.38%,"3,803,429",74.25%
"Dec 18, 2021","8,001,429",156.2,"15,577","8,001,429","3,962,961",77.36%,"3,800,050",74.18%
"Dec 17, 2021","7,985,852",155.89,"21,592","7,985,852","3,961,206",77.33%,"3,793,386",74.05%
"Dec 16, 2021","7,964,260",155.47,"21,594","7,964,260","3,959,145",77.29%,"3,785,753",73.90%
"Dec 15, 2021","7,942,666",155.05,"20,959","7,942,666","3,956,696",77.24%,"3,777,401",73.74%
"Dec 14, 2021","7,921,707",154.64,"20,642","7,921,707","3,954,252",77.19%,"3,769,186",73.58%
"Dec 13, 2021","7,901,065",154.24,"18,822","7,901,065","3,951,759",77.14%,"3,761,280",73.43%
"Dec 12, 2021","7,882,243",153.87,"7,525","7,882,243","3,949,322",77.10%,"3,754,393",73.29%
"Dec 11, 2021","7,874,718",153.73,"16,222","7,874,718","3,948,132",77.07%,"3,750,126",73.21%
"Dec 10, 2021","7,858,496",153.41,"21,130","7,858,496","3,945,380",77.02%,"3,741,597",73.04%
"Dec 9, 2021","7,837,366",153,"21,874","7,837,366","3,942,486",76.96%,"3,732,308",72.86%
"Dec 8, 2021","7,815,492",152.57,"23,266","7,815,492","3,939,089",76.90%,"3,723,047",72.68%
"Dec 7, 2021","7,792,226",152.11,"24,385","7,792,226","3,935,267",76.82%,"3,713,617",72.49%
"Dec 6, 2021","7,767,841",151.64,"25,287","7,767,841","3,930,842",76.74%,"3,703,408",72.30%
"Dec 5, 2021","7,742,554",151.15,"11,995","7,742,554","3,926,225",76.65%,"3,692,689",72.09%
"Dec 4, 2021","7,730,559",150.91,"27,336","7,730,559","3,923,485",76.59%,"3,685,915",71.95%
"Dec 3, 2021","7,703,223",150.38,"39,557","7,703,223","3,917,799",76.48%,"3,671,840",71.68%
"Dec 2, 2021","7,663,666",149.61,"40,119","7,663,666","3,910,346",76.34%,"3,654,366",71.34%
"Dec 1, 2021","7,623,547",148.82,"40,349","7,623,547","3,901,629",76.17%,"3,637,578",71.01%
"Nov 30, 2021","7,583,198",148.03,"41,929","7,583,198","3,893,683",76.01%,"3,623,203",70.73%
"Nov 29, 2021","7,541,269",147.22,"41,798","7,541,269","3,886,112",75.86%,"3,608,754",70.45%
"Nov 28, 2021","7,499,471",146.4,"14,137","7,499,471","3,879,851",75.74%,"3,596,799",70.21%
"Nov 27, 2021","7,485,334",146.12,"25,689","7,485,334","3,876,139",75.67%,"3,588,714",70.06%
"Nov 26, 2021","7,459,645",145.62,"23,202","7,459,645","3,869,706",75.54%,"3,574,165",69.77%
"Nov 25, 2021","7,436,443",145.17,"19,191","7,436,443","3,863,960",75.43%,"3,561,865",69.53%
"Nov 24, 2021","7,417,252",144.79,"19,598","7,417,252","3,857,509",75.30%,"3,549,973",69.30%
"Nov 23, 2021","7,397,654",144.41,"19,750","7,397,654","3,850,851",75.17%,"3,537,832",69.06%
"Nov 22, 2021","7,377,904",144.03,"15,996","7,377,904","3,844,245",75.04%,"3,525,328",68.82%
"Nov 21, 2021","7,361,908",143.71,"10,064","7,361,908","3,839,412",74.95%,"3,514,775",68.61%
"Nov 20, 2021","7,351,844",143.52,"21,854","7,351,844","3,836,302",74.89%,"3,507,983",68.48%
"Nov 19, 2021","7,329,990",143.09,"23,259","7,329,990","3,830,238",74.77%,"3,492,372",68.18%
"Nov 18, 2021","7,306,731",142.64,"21,454","7,306,731","3,823,377",74.64%,"3,476,509",67.87%
"Nov 17, 2021","7,285,277",142.22,"21,105","7,285,277","3,816,622",74.51%,"3,462,347",67.59%
"Nov 16, 2021","7,264,172",141.81,"21,724","7,264,172","3,810,348",74.38%,"3,448,038",67.31%
"Nov 15, 2021","7,242,448",141.38,"22,035","7,242,448","3,803,614",74.25%,"3,433,534",67.03%
"Nov 14, 2021","7,220,413",140.95,"14,740","7,220,413","3,795,778",74.10%,"3,419,779",66.76%
"Nov 13, 2021","7,205,673",140.66,"27,464","7,205,673","3,791,105",74.01%,"3,409,761",66.56%
"Nov 12, 2021","7,178,209",140.13,"23,685","7,178,209","3,783,850",73.87%,"3,389,720",66.17%
"Nov 11, 2021","7,154,524",139.67,"23,620","7,154,524","3,777,410",73.74%,"3,372,871",65.84%
"Nov 10, 2021","7,130,904",139.2,"22,703","7,130,904","3,770,955",73.61%,"3,356,206",65.52%
"Nov 9, 2021","7,108,201",138.76,"22,907","7,108,201","3,764,810",73.49%,"3,340,119",65.20%
"Nov 8, 2021","7,085,294",138.31,"21,825","7,085,294","3,758,833",73.38%,"3,323,622",64.88%
"Nov 7, 2021","7,063,469",137.89,"14,366","7,063,469","3,753,608",73.28%,"3,307,332",64.56%
"Nov 6, 2021","7,049,103",137.61,"34,198","7,049,103","3,750,318",73.21%,"3,296,297",64.35%
"Nov 5, 2021","7,014,905",136.94,"28,570","7,014,905","3,742,855",73.07%,"3,269,689",63.83%
"Nov 4, 2021","6,986,335",136.38,"26,751","6,986,335","3,736,328",72.94%,"3,248,020",63.41%
"Nov 3, 2021","6,959,584",135.86,"27,713","6,959,584","3,729,619",72.81%,"3,228,353",63.02%
"Nov 2, 2021","6,931,871",135.32,"29,405","6,931,871","3,722,786",72.67%,"3,207,778",62.62%
"Nov 1, 2021","6,902,466",134.75,"27,857","6,902,466","3,715,139",72.52%,"3,186,290",62.20%
"Oct 31, 2021","6,874,609",134.2,"20,287","6,874,609","3,707,872",72.38%,"3,165,887",61.80%
"Oct 30, 2021","6,854,322",133.81,"43,032","6,854,322","3,702,970",72.29%,"3,150,515",61.50%
"Oct 29, 2021","6,811,290",132.97,"43,455","6,811,290","3,692,131",72.08%,"3,118,409",60.88%
"Oct 28, 2021","6,767,835",132.12,"45,540","6,767,835","3,680,928",71.86%,"3,086,327",60.25%
"Oct 27, 2021","6,722,295",131.23,"39,537","6,722,295","3,667,956",71.60%,"3,053,879",59.62%
"Oct 26, 2021","6,682,758",130.46,"42,441","6,682,758","3,656,947",71.39%,"3,025,400",59.06%
"Oct 25, 2021","6,640,317",129.63,"10,741","6,640,317","3,645,970",71.17%,"2,993,998",58.45%
"Oct 24, 2021","6,629,576",129.42,"19,119","6,629,576","3,642,433",71.11%,"2,986,797",58.31%
"Oct 23, 2021","6,610,457",129.04,"42,762","6,610,457","3,637,052",71.00%,"2,973,061",58.04%
"Oct 22, 2021","6,567,695",128.21,"45,119","6,567,695","3,625,138",70.77%,"2,942,231",57.44%
"Oct 21, 2021","6,522,576",127.33,"41,681","6,522,576","3,613,593",70.54%,"2,908,682",56.78%
"Oct 20, 2021","6,480,895",126.52,"43,396","6,480,895","3,603,410",70.34%,"2,877,202",56.17%
"Oct 19, 2021","6,437,499",125.67,"43,067","6,437,499","3,592,882",70.14%,"2,844,341",55.53%
"Oct 18, 2021","6,394,432",124.83,"42,973","6,394,432","3,582,359",69.93%,"2,811,800",54.89%
"Oct 17, 2021","6,351,459",123.99,"29,794","6,351,459","3,572,287",69.74%,"2,778,907",54.25%
"Oct 16, 2021","6,321,665",123.41,"131,457","6,321,665","3,565,996",69.61%,"2,755,405",53.79%
"Oct 15, 2021","6,190,208",120.84,"69,951","6,190,208","3,526,283",68.84%,"2,663,685",52.00%
"Oct 14, 2021","6,120,257",119.48,"68,374","6,120,257","3,512,161",68.56%,"2,607,862",50.91%
"Oct 13, 2021","6,051,883",118.14,"69,415","6,051,883","3,496,937",68.26%,"2,554,719",49.87%
"Oct 12, 2021","5,982,468",116.79,"73,494","5,982,468","3,481,057",67.95%,"2,501,190",48.83%
"Oct 11, 2021","5,908,974",115.35,"69,750","5,908,974","3,463,374",67.61%,"2,445,382",47.74%
"Oct 10, 2021","5,839,224",113.99,"42,384","5,839,224","3,448,033",67.31%,"2,390,979",46.68%
"Oct 9, 2021","5,796,840",113.16,"82,289","5,796,840","3,438,922",67.13%,"2,357,708",46.03%
"Oct 8, 2021","5,714,551",111.56,"86,378","5,714,551","3,420,460",66.77%,"2,293,885",44.78%
"Oct 7, 2021","5,628,173",109.87,"82,984","5,628,173","3,401,698",66.41%,"2,226,276",43.46%
"Oct 6, 2021","5,545,189",108.25,"70,826","5,545,189","3,381,789",66.02%,"2,163,211",42.23%
"Oct 5, 2021","5,474,363",106.87,"64,207","5,474,363","3,362,683",65.64%,"2,111,504",41.22%
"Oct 4, 2021","5,410,156",105.61,"56,263","5,410,156","3,344,916",65.30%,"2,065,071",40.31%
"Oct 3, 2021","5,353,893",104.52,"27,197","5,353,893","3,329,904",65.00%,"2,023,823",39.51%
"Oct 2, 2021","5,326,696",103.98,"50,434","5,326,696","3,322,773",64.86%,"2,003,759",39.12%
"Oct 1, 2021","5,276,262",103,"47,940","5,276,262","3,309,825",64.61%,"1,966,278",38.38%
"Sep 30, 2021","5,228,322",102.06,"46,629","5,228,322","3,297,415",64.37%,"1,930,752",37.69%
"Sep 29, 2021","5,181,693",101.15,"41,240","5,181,693","3,283,226",64.09%,"1,898,317",37.06%
"Sep 28, 2021","5,140,453",100.35,"44,928","5,140,453","3,269,155",63.82%,"1,871,151",36.53%
"Sep 27, 2021","5,095,525",99.47,"41,064","5,095,525","3,255,526",63.55%,"1,839,858",35.92%
"Sep 26, 2021","5,054,461",98.67,"24,910","5,054,461","3,242,779",63.30%,"1,811,545",35.36%
"Sep 25, 2021","5,029,551",98.18,"51,888","5,029,551","3,234,494",63.14%,"1,794,920",35.04%
"Sep 24, 2021","4,977,663",97.17,"51,009","4,977,663","3,214,940",62.76%,"1,762,588",34.41%
"Sep 23, 2021","4,926,654",96.17,"49,850","4,926,654","3,195,774",62.39%,"1,730,750",33.79%
"Sep 22, 2021","4,876,804",95.2,"50,157","4,876,804","3,174,501",61.97%,"1,702,175",33.23%
"Sep 21, 2021","4,826,647",94.22,"54,421","4,826,647","3,149,935",61.49%,"1,676,587",32.73%
"Sep 20, 2021","4,772,226",93.16,"50,788","4,772,226","3,122,128",60.95%,"1,649,977",32.21%
"Sep 19, 2021","4,721,438",92.17,"26,924","4,721,438","3,097,299",60.46%,"1,624,025",31.70%
"Sep 18, 2021","4,694,514",91.64,"53,988","4,694,514","3,082,983",60.18%,"1,611,420",31.46%
"Sep 17, 2021","4,640,526",90.59,"61,117","4,640,526","3,053,640",59.61%,"1,586,776",30.98%
"Sep 16, 2021","4,579,409",89.4,"61,490","4,579,409","3,020,247",58.96%,"1,559,062",30.43%
"Sep 15, 2021","4,517,919",88.2,"63,288","4,517,919","2,982,936",58.23%,"1,534,887",29.96%
"Sep 14, 2021","4,454,631",86.96,"62,679","4,454,631","2,942,892",57.45%,"1,511,650",29.51%
"Sep 13, 2021","4,391,952",85.74,"55,544","4,391,952","2,903,115",56.67%,"1,488,751",29.06%
"Sep 12, 2021","4,336,408",84.65,"34,151","4,336,408","2,868,571",56.00%,"1,467,755",28.65%
"Sep 11, 2021","4,302,257",83.99,"62,392","4,302,257","2,847,891",55.59%,"1,454,284",28.39%
"Sep 10, 2021","4,239,865",82.77,"65,404","4,239,865","2,808,842",54.83%,"1,430,942",27.93%
"Sep 9, 2021","4,174,461",81.49,"62,199","4,174,461","2,764,645",53.97%,"1,409,739",27.52%
"Sep 8, 2021","4,112,262",80.28,"67,458","4,112,262","2,718,083",53.06%,"1,394,103",27.21%
"Sep 7, 2021","4,044,804",78.96,"73,510","4,044,804","2,669,212",52.11%,"1,375,519",26.85%
"Sep 6, 2021","3,971,294",77.52,"67,171","3,971,294","2,619,186",51.13%,"1,352,037",26.39%
"Sep 5, 2021","3,904,123",76.21,"39,067","3,904,123","2,573,851",50.25%,"1,330,204",25.97%
"Sep 4, 2021","3,865,056",75.45,"78,743","3,865,056","2,546,812",49.72%,"1,318,177",25.73%
"Sep 3, 2021","3,786,313",73.91,"87,888","3,786,313","2,490,669",48.62%,"1,295,581",25.29%
"Sep 2, 2021","3,698,425",72.2,"90,605","3,698,425","2,428,706",47.41%,"1,269,659",24.79%
"Sep 1, 2021","3,607,820",70.43,"91,332","3,607,820","2,363,440",46.14%,"1,244,321",24.29%
"Aug 31, 2021","3,516,488",68.65,"86,851","3,516,488","2,299,829",44.90%,"1,216,602",23.75%
"Aug 30, 2021","3,429,637",66.95,"78,721","3,429,637","2,240,487",43.74%,"1,189,095",23.21%
"Aug 29, 2021","3,350,916",65.41,"48,605","3,350,916","2,185,549",42.66%,"1,165,314",22.75%
"Aug 28, 2021","3,302,311",64.47,"79,304","3,302,311","2,148,434",41.94%,"1,153,825",22.52%
"Aug 27, 2021","3,223,007",62.92,"92,176","3,223,007","2,091,547",40.83%,"1,131,410",22.09%
"Aug 26, 2021","3,130,831",61.12,"93,461","3,130,831","2,024,113",39.51%,"1,106,670",21.60%
"Aug 25, 2021","3,037,370",59.29,"89,978","3,037,370","1,956,178",38.19%,"1,081,145",21.11%
"Aug 24, 2021","2,947,392",57.54,"83,110","2,947,392","1,892,719",36.95%,"1,054,628",20.59%
"Aug 23, 2021","2,864,282",55.91,"66,390","2,864,282","1,833,298",35.79%,"1,030,940",20.13%
"Aug 22, 2021","2,797,892",54.62,"37,606","2,797,892","1,786,490",34.87%,"1,011,362",19.74%
"Aug 21, 2021","2,760,286",53.88,"54,309","2,760,286","1,757,984",34.32%,"1,002,262",19.57%
"Aug 20, 2021","2,705,977",52.82,"59,050","2,705,977","1,719,580",33.57%,"986,359",19.26%
"Aug 19, 2021","2,646,927",51.67,"30,367","2,646,927","1,680,757",32.81%,"966,133",18.86%
"Aug 18, 2021","2,616,560",51.08,513,"2,616,560","1,659,168",32.39%,"957,355",18.69%
"Aug 17, 2021","2,616,047",51.07,"56,295","2,616,047","1,658,756",32.38%,"957,254",18.69%
"Aug 16, 2021","2,559,752",49.97,"46,440","2,559,752","1,622,898",31.68%,"936,819",18.29%
"Aug 15, 2021","2,513,312",49.06,"25,696","2,513,312","1,592,523",31.09%,"920,755",17.97%
"Aug 14, 2021","2,487,616",48.56,"43,764","2,487,616","1,574,235",30.73%,"913,347",17.83%
"Aug 13, 2021","2,443,852",47.71,"47,083","2,443,852","1,543,809",30.14%,"900,010",17.57%
"Aug 12, 2021","2,396,769",46.79,"49,077","2,396,769","1,512,395",29.52%,"884,342",17.26%
"Aug 11, 2021","2,347,692",45.83,"48,988","2,347,692","1,479,874",28.89%,"867,787",16.94%
"Aug 10, 2021","2,298,704",44.87,"47,088","2,298,704","1,447,827",28.26%,"850,846",16.61%
"Aug 9, 2021","2,251,616",43.95,"38,566","2,251,616","1,416,705",27.66%,"834,882",16.30%
"Aug 8, 2021","2,213,050",43.2,"20,509","2,213,050","1,389,798",27.13%,"823,224",16.07%
